timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1506690388729,602,7 /kerriervision/kerriervbo/dispatcher/login-flow;KerrierVBO_SESSIONID=8KKtZfJQQhDTkjBVSr5xMrMmJLsMrTqpMH1l8Sd4WGm2Jhr5FL5P!35533738!1092727497,200,OK,HKPC3ITS005_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,28998,1920,1,14,490,0,1
1506690389318,88,77 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_PO_Management_PO_Maintenance_1x 3-1,text,true,,27667,1455,1,14,31,0,0
1506690389334,111,8 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,27690,1249,1,14,31,0,0
1506690389407,69,78 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_PO_Management_PO_Maintenance_1x 3-1,text,true,,26802,735,1,14,69,0,0
1506690389476,11,79 /kerriervision/invalidSession,200,OK,HKPC3ITS005_PO_Management_PO_Maintenance_1x 3-1,text,true,,776,619,1,14,10,0,0
1506690387311,1099,POMPM_Open Web Portal,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS005_PO_Management_PO_Maintenance_1x 3-1,,true,,84216,4944,1,14,300,1067,1
1506690389487,0,BeanShell Sampler,200,OK,HKPC3ITS005_PO_Management_PO_Maintenance_1x 3-1,text,true,,552,0,1,14,0,0,0
1506690389445,48,9 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,26842,632,1,14,48,0,0
1506690389493,9,10 /kerriervision/invalidSession,200,OK,HKPC3ITS005_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,799,619,1,14,9,0,0
1506690387677,770,VMAM_Open Web Portal,200,"Number of samples in transaction : 4, number of failing samples : 0",HKPC3ITS005_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,,true,,84329,4420,1,14,578,1055,1
1506690389502,1,BeanShell Sampler,200,OK,HKPC3ITS005_Vendor_Management_Air_e_booking_Maintenance(Vendor)_1x 5-1,text,true,,575,0,1,14,0,0,0
1506690388225,1445,140 /kerriervision/kerriervbo/dispatcher/index-flow,200,OK,HKPC3ITS005_Report_Virtual_Buying_Office_1x 1-1,text,true,,1962,440,1,14,1445,0,2
1506690388242,1430,55 /kerriervision/kerriervbo/dispatcher/index-flow,200,OK,HKPC3ITS005_Report_Analysis_Report_1x 2-1,text,true,,1958,440,1,14,1430,0,2
1506690389671,19,141 /kerriervision/invalidSession,200,OK,HKPC3ITS005_Report_Virtual_Buying_Office_1x 1-1,text,true,,775,604,1,14,19,0,0
1506690389672,19,57 /kerriervision/invalidSession,200,OK,HKPC3ITS005_Report_Analysis_Report_1x 2-1,text,true,,770,604,1,14,19,0,0
1506690389048,894,127 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,text,true,,28997,2177,1,14,822,0,2
1506690389943,61,128 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,text,true,,27684,1483,1,14,15,0,0
1506690390004,38,129 /kerriervision/kerriervbo/dispatcher/login-flow,200,OK,HKPC3ITS005_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,text,true,,26824,749,1,14,38,0,0
1506690390042,11,130 /kerriervision/invalidSession,200,OK,HKPC3ITS005_Vendor_Management_Sea_e-booking_Mantenance(Vendor)_1x 6-1,text,true,,798,619,1,14,11,0,0
